Time,Sun,Mon,Tues,Wed,Thur,Fri,Sat
12 AM,1.5,1.3,1.2,1.9,1.8,2.1,1.4
1 AM,2.6,3.9,8.0,13.8,9.0,5.1,1.1
2 AM,10.5,7.7,12.3,19.7,13.8,10.5,16.2
3 AM,26.7,19.8,24.4,21.5,22.3,19.5,22.7
4 AM,23.8,24.0,26.5,10.8,24.0,24.9,28.0
5 AM,18.8,19.7,10.2,12.2,20.9,22.4,18.8
6 AM,5.0,10.3,8.8,8.3,8.5,14.5,8.8
7 AM,1.6,5.8,3.1,2.1,2.4,9.0,3.5
8 AM,5.6,8.0,6.9,5.0,5.6,6.7,3.8
9 AM,2.2,6.2,5.0,3.5,2.2,6.0,2.9
10 AM,7.3,5.4,2.5,3.2,0.5,4.9,3.5
11 AM,15.1,16.5,11.4,12.1,11.6,12.6,16.6
12 PM,18.5,18.9,13.6,14.6,13.8,15.3,14.5
1 PM,11.8,11.5,13.3,8.5,14.5,16.3,4.5
2 PM,0.3,0.4,9.4,8.5,10.0,10.9,8.3
3 PM,0.0,0.0,0.0,0.0,0.5,0.9,0.1
4 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 PM,2.0,2.8,0.0,0.0,0.1,2.7,1.6
9 PM,9.1,6.4,0.5,0.3,0.8,10.5,9.4
10 PM,9.4,6.9,2.9,2.8,2.6,7.2,7.9
11 PM,4.2,3.7,0.7,1.3,2.1,2.0,3.1
